Postcode District,Post Town,Coverage Area
ABERDEEN,"Bridge of Dee,Mannofield,Ruthrieston",Aberdeen
ABERDEEN,"Ferryhill,Torry",Aberdeen
ABERDEEN,"Altens,Ardoe,Banchory Devenick,Blairs,Bridge of Dee,Cove Bay,Kincorth,Maryculter,Nigg,Portlethen,Tullos","Aberdeen,Aberdeenshire"
MILLTIMBER,Milltimber,Aberdeen
PETERCULTER,"Peterculter,Upper Anguston",Aberdeen
ABERDEEN,"Bieldside,Craigiebuckler,Cults,Hazlehead,Kingswells,Mannofield,Milltimber,Summerhill",Aberdeen
ABERDEEN,"Mastrick,Northfield,Middlefield,Cornhill,Shedocksley",Aberdeen
ABERDEEN,"Blackburn,Bucksburn,Dyce,Fintray,Kinellar,Newmachar,Whiterashes","Aberdeen, Aberdeenshire"
ABERDEEN,"Bridge of Don,Danestone,Grandholm,Persley",Aberdeen
ABERDEEN,"Balmedie,Belhelvie,Bridge of Don,Potterton,Whitecairns","Aberdeen, Aberdeenshire"
ABERDEEN,"Old Aberdeen,Woodside,Tillydrone,Seaton,Bedford",Aberdeen
ABERDEEN,"Kittybrewster,Foresterhill,Rosemount,George Street",Aberdeen
LAURENCEKIRK,"Laurencekirk,Fettercairn,Marykirk,North Water Bridge,Luthermuir,Phesbo,Glensaugh,Auchenblae,Fordoun,Scotston,Arbuthnott",Aberdeenshire
BANCHORY,"Banchory,Lumphanan,Torphins,Crathes",Aberdeenshire
WESTHILL,"Westhill,Kirkton of Skene,Echt,Dunecht",Aberdeenshire
ALFORD,"Alford,Muir of Fowlis,Towie",Aberdeenshire
ABOYNE,"Aboyne,Kincardine O'Neil,Dinnet",Aberdeenshire
BALLATER,"Ballater,Crathie,Braemar,Spittal of Glenmuick",Aberdeenshire
STRATHDON,"Strathdon,Corgarff",Aberdeenshire
BALLINDALLOCH,"Ballindalloch,Glenlivet,Tomintoul",Moray
ABERLOUR,"Aberlour,Craigellachie,Rothes",Moray
STONEHAVEN,"Stonehaven,Newtonhill",Aberdeenshire
ELLON,"Ellon,Tarves,Pitmedden,Udny",Aberdeenshire
PETERHEAD,"Peterhead, Hatton, St. Fergus",Aberdeenshire
FRASERBURGH,"Fraserburgh, Crimond",Aberdeenshire
MACDUFF,Macduff,Aberdeenshire
BANFF,"Banff,Gardenstown,Cornhill,Portsoy,Whitehills",Aberdeenshire
INVERURIE,"Inverurie,Kemnay,Kintore,Oldmeldrum",Aberdeenshire
INSCH,"Insch, Culsalmond, Largie,Auchleven,Oyne,Old Rayne,Colpy, Leslie, Wrangham, Duncanstone, Mill of Boddam",Aberdeenshire
TURRIFF,"Turriff,Fyvie,New Deer",Aberdeenshire
HUNTLY,"Huntly, Aberchirder, Cabrach, Cairnie, Forgue, Gartly,Glass, Kennethmont, Lumsden, Rhynie, Rothiemay","Aberdeenshire, Moray"
KEITH,"Keith,Dufftown",Moray
BUCKIE,"Buckie,Cullen,Portknockie,Findochty,Portessie,Portgordon",Moray
ABERDEEN,,non-geographic
